sku,name,category,quantity,specification
ARDUINO_UNO,Arduino Uno,Board,15,"Microcontroller board based on the ATmega328P"
RASP_PI_4,Raspberry Pi 4,Board,10,"Quad-core CPU, 4GB RAM, 4K support"
HDMI_3M,HDMI Cable,Cable,30,"High-speed, 3 meters, supports 4K"
USB_C_2M,USB-C Charging Cable,Cable,25,"2 meters, fast charging, nylon braided"
PLA_WHITE_1KG,PLA Filament 1.75mm,Filament,20,"1kg spool, white, for 3D printing"
ABS_BLACK_1KG,ABS Filament 1.75mm,Filament,15,"1kg spool, black, heat resistant"
SOLDER_IRON_60W,Soldering Iron,Tool,10,"60W, adjustable temperature"
DIGI_MULTIMETER,Multimeter,Tool,8,"Digital, auto-ranging, with probes"
BREADBOARD_830,Breadboard,Prototyping,25,"830 tie-points, adhesive back"
JUMPER_WIRES_40,Jumper Wires,Prototyping,35,"Male-to-male, 40 wires, 20cm"
RESISTOR_KIT_500,Resistor Kit,Component,12,"Assorted values, 1/4W, 500 pieces"
CAP_KIT_120,Capacitor Kit,Component,15,"Variety of electrolytic capacitors, 120 pieces"
LED_KIT_100,LED Kit,Component,18,"Assorted colors, 3mm and 5mm, 100 pieces"
HEATSHRINK_100,Heat Shrink Tubing,Accessory,20,"Assorted sizes, 100 pieces"
FLUX_PEN_1,Flux Pen,Tool,22,"No-clean flux, for PCB soldering"
STEPPER_NEMA17,NEMA 17 Stepper Motor,Motor,12,"For 3D printers and CNC machines, 1.8° step angle"
DRONE_PROPS_4,Drone Propellers,Accessory,30,"Set of 4, 5-inch, for quadcopters"
WIFI_MOD_ESP8266,ESP8266 WiFi Module,Component,40,"Wi-Fi SoC with TCP/IP stack"
BATTERY_18650,Lithium Battery 18650,Battery,50,"3.7V, 2600mAh, rechargeable"
POWERBANK_10K,USB Power Bank,Accessory,25,"10000mAh, dual USB outputs"

